text,ipa
ম ঞ ্ চ ে,m ɔ n c e
দ া য ় ে,d ̪ ɐ ʲ e
উ ই ক ে ট ই,u ͡ i ̯ k e t i
উ ই ং য় ে,u ͡ i ̯ ŋ ʲ e
ন ৌ প র ি ব হ ন ম ন ্ ত ্ র ী,n o ͡ u ̯ p o ɾ i b ɔ h o n m o n t ̪ ɾ i
ধ ু ল া ব া ল ি ত ে,d ̪ ʱ u l ɐ b ɐ l i t ̪ e
প া র ি,p ɐ ɾ i
আ চ র ণ ই,ɐ c ɾ o n i
‘ আ ন ্ দ ো ল ন ে র,‘ ɐ n d ̪ o l ɔ n e ɾ
প ড় ে ই,p ɔ ɽ e ͡ i ̯
র া ঙ ্ গ া ব া ল ী,ɾ ɐ ŋ g ɐ b ɐ l i
ভ ৌ ম ি ক ।,b ʱ o ͡ u ̯ m i k ।
ট ু ক ি ট া ক ি ত ে,t u k i t ɐ k i t ̪ e
দ ে খ া ব ে ।,d ̪ e k ʰ ɐ b e ।
ন া দ ি য় া ব খ া ট ে র,n ɐ d ̪ i ʲ ɐ b k ʰ ɐ t e ɾ
আ ম ল া র,ɐ m l ɐ ɾ
ক া য় া ক,k ɐ ʲ ɐ k
ছ া ত ্ র র া,c ʰ ɐ t ̪ ɾ o ɾ ɐ
ম া র ত ে,m ɐ ɾ t ̪ e
"ম ণ ্ ড ল ,","m ɔ n d o l ,"
জ ে ব ু ন,ɟ e b u n
আ প া,ɐ p ɐ
ফ া ল ্ গ ু ন ী,p ʰ ɐ l g u n i
শ া ড় ি র,ʃ ɐ ɽ i ɾ
ঘ ন ি ষ ্ ঠ ।,g ʱ o n i ʃ t ʰ o ।
র া ষ ্ ট ্ র ধ র ্ ম,ɾ ɐ ʃ t ɾ o d ̪ ʱ ɔ ɾ m o
ক ্ য া র ি য় া র,k ɛ ɾ i ʲ ɐ ɾ
ব া ণ ী ত ো ষ,b ɐ n i t ̪ o ʃ
ল া র ্ ন ি ং,l ɐ ɾ n i ŋ
ম ্ য া ন স ি ট ি র ।,m ɛ n ʃ i t i ɾ ।
স ো ব হ া ন ক ে,ʃ o b ɔ h ɐ n k e
প ্ র ক ল ্ প ট ি ।,p ɾ o k ɔ l p o t i ।
অ জ ্ ঞ া া ত,ɔ g g ɐ ͡ ɐ ̯ t ̪
"চ ল ে ন ,","c ɔ l e n ,"
ব ি য় া র ।,b i ʲ ɐ ɾ ।
ম া ল ি ক া ন া য়,m ɐ l i k ɐ n ɐ ʲ
ব া স া ব া ড় ি র,b ɐ ʃ ɐ b ɐ ɽ i ɾ
প ্ র ত ি ক া র ে,p ɾ o t ̪ i k ɐ ɾ e
আ ত ্ ম হ ত ্ য া,ɐ t ̪ t ̪ o h ɔ t ̪ t ̪ ɐ
শ ি শ ু র া ও,ʃ i ʃ u ɾ ɐ ͡ o ̯
"ত া র া ,","t ̪ ɐ ɾ ɐ ,"
প ্ র শ ি ক ্ ষ ণ ে,p ɾ o ʃ i k k ʰ o n e
ব শ ি র উ ল ্ ল া হ,b o ʃ i ɾ u l l ɐ h
ভ া ট ি খ া ন া র,b ʱ ɐ t i k ʰ ɐ n ɐ ɾ
ব ল ্ ল ি ও,b ɔ l l i ͡ o ̯
উ ন ি,u n i
ব া জ ে ট ট ি ক ে,b ɐ ɟ e t t i k e
ব ি ছ ু ই,b i c ʰ u ͡ i ̯
"অ ল ি ম ্ প ি ক ,","o l i m p i k ,"
"প ত ে ঙ ্ গ া প া ড় া ,","p ɔ t ̪ e ŋ g ɐ p ɐ ɽ ɐ ,"
র চ ন া য়,ɾ ɔ c o n ɐ ʲ
জ ে ব া র,ɟ e b ɐ ɾ
স া ল ম া ক ে,s ɐ l m ɐ k e
"ব ্ য ব হ া র ,","b ɛ b o h ɐ ɾ ,"
"আ ট া ই শ ,","ɐ t ɐ ͡ i ̯ ʃ ,"
"ক র ত ,","k o ɾ t ̪ o ,"
ত া গ া দ া,t ̪ ɐ g ɐ d ̪ ɐ
ক া র া গ া র,k ɐ ɾ ɐ g ɐ ɾ
ক ্ র ম শ ই,k ɾ o m o ʃ o ͡ i ̯
ব র ে,b ɔ ɾ e
ভ া স ম া ন,b ʱ ɐ ʃ m ɐ n
ব ে ঞ ্ জ া ম ি ন,b e n ɟ ɐ m i n
হ ত া শ া,h o t ̪ ɐ ʃ ɐ
ক ম ্ প ি উ ট ি ং,k ɔ m p i ͡ u ̯ t i ŋ
ভ র ে ন ি,b ʱ ɔ ɾ e n i
প য় ঃ ব র ্ জ ্ য,p ɔ ʲ o b ɔ ɾ ɟ o
ধ া ক ্ ক া ট া,d ̪ ʱ ɐ k k ɐ t ɐ
স ু র ক ্ ষ া য়,ʃ u ɾ o k k ʰ ɐ ʲ
চ া ষ ।,c ɐ ʃ ।
ও খ া ন,o k ʰ ɐ n
ব া ন া য় ।,b ɐ n ɐ ʲ ।
দ শ া র,d ̪ ɔ ʃ ɐ ɾ
চ ি ল ম া র ী ত ে,c i l m ɐ ɾ i t ̪ e
র ম া,ɾ ɔ m ɐ
র ক ্ ত ই,ɾ ɔ k t ̪ o ͡ i ̯
ব ্ য স ্ ত,b ɛ s t ̪ o
গ র ্ জ ি য় া স,g o ɾ ɟ i ʲ ɐ s
প া ঁ চ প া ড় া,p ɐ ̃ c p ɐ ɽ ɐ
এ এ ই চ এ,e ͡ e ̯ ͡ i ̯ c ɔ ͡ e ̯
ব ি প ু ল ক ে,b i p u l k e
ঠ ি ক া ন া য়,t ʰ i k ɐ n ɐ ʲ
স হ ক া র ী ।,ʃ ɔ h o k ɐ ɾ i ।
হ ও য় া ও,h o ʷ ɐ ͡ o ̯
স া ফ ল ্ য গ ু ল ো,ʃ ɐ p ʰ o l l o g u l o
প র ি ব শ,p o ɾ i b ɔ ʃ
প া থ র ্ শ ী,p ɐ t ̪ ʰ o ɾ ʃ i
"প া য় ,","p ɐ ʲ ,"
দ ে য় া,d ̪ e ʲ ɐ
ভ ো র ে ।,b ʱ o ɾ e ।
স ু প া র ি শ স ম ূ হ,ʃ u p ɐ ɾ i ʃ ɔ ʃ ɔ m u h o
ত ্ য া গ ী,t ̪ ɛ g i
‘ স ব,‘ ʃ ɔ b
ভ ি ও আ ই প ি,b ʱ i ͡ o ̯ ͡ ɐ ̯ i p i
ন ি হ ি ত,n i h i t ̪ o
জ ্ ঞ া ন ে র,g ɛ n e ɾ
র া খ া র,ɾ ɐ k ʰ ɐ ɾ
ন ে দ া র ল ্ য া ন ্ ড স,n e d ̪ ɐ ɾ l ɛ n d ʃ
ব া গ ব ড় ী,b ɐ g o b o ɽ i
ব দ ল া ন ন ি ।,b ɔ d ̪ l ɐ n n i ।
অ ব র া ধ,ɔ b o ɾ ɐ d ̪ ʱ
ধ স ্ ত া ধ স ্ ত ি,d ̪ ʱ ɔ s t ̪ ɐ d ̪ ʱ ɔ s t ̪ i
"শ ো ভ া য া ত ্ র া ,","ʃ o b ʱ ɐ ɟ ɐ t ̪ ɾ ɐ ,"
প থ চ ল া য়,p ɔ t ̪ ʰ o c l ɐ ʲ
দ ি ব ে ।,d ̪ i b e ।
অ ন ে ক া ং শ ে ই,ɔ n e k ɐ ŋ ʃ e ͡ i ̯
প ু র ু ষ ে র,p u ɾ u ʃ e ɾ
দ ে ব ত া র,d ̪ e b o t ̪ ɐ ɾ
অ ক া ল,ɔ k ɐ l
"উ ড় ি ষ ্ য া ,","u ɽ i ʃ ɟ ɐ ,"
এ ল জ ি ই ড ি,e l ɟ i ͡ i ̯ d i
ক য় ে ল,k ɔ ʲ e l
উ ৎ প ত ্ ত ি,u t ̪ p ɔ t ̪ t ̪ i
ল া ভ ল ী,l ɐ b ʱ l i
ঝ ু ল া ন ো,ɟ ʱ u l ɐ n o
‘ ন ি র ্ ব া চ ন ক া ল ী ন,‘ n i ɾ b ɐ c ɔ n k ɐ l i n
হ া ফ,h ɐ p ʰ
"ল ি প স ্ ট ি ক ,","l i p s t i k ,"
স া ব হ া ন,ʃ ɐ b o h ɐ n
স ম ন,ʃ ɔ m o n
ব র া দ ্ দ ক ৃ ত,b ɔ ɾ ɐ d ̪ d ̪ o k ɾ i t ̪ o
স ম গ ্ র,ʃ ɔ m o g ɾ o
ন া শ ক ত া র,n ɐ ʃ o k ɔ t ̪ ɐ ɾ
প র ি ণ ত ি,p o ɾ i n o t ̪ i
র ি চ া র ্ জ,ɾ i c ɐ ɾ ɟ o
হ ু দ া র,h u d ̪ ɐ ɾ
ব া ড় ি ও য় া ল া র া,b ɐ ɽ i ͡ o ̯ ʷ ɐ l ɐ ɾ ɐ
আ দ া ল ত ।,ɐ d ̪ ɐ l ɔ t ̪ o ।
ব া দ া ম ি,b ɐ d ̪ ɐ m i
শ হ র ক ে,ʃ ɔ h o ɾ k e
ব া ঁ চ া ত ে,b ɐ ̃ c ɐ t ̪ e
অ ঞ ্ চ ল ে র ই,ɔ n c o l e ɾ i
স ে হ র ী শ,ʃ e h o ɾ i ʃ o
ঘ ণ ্ ট া য় ই,g ʱ ɔ n t ɐ ʲ i
ব ি ত ্ ত ব া ন দ ে র,b i t ̪ t ̪ o b ɐ n d ̪ e ɾ
ব ধ ্ য ভ ূ ম ি ।,b o d ̪ d ̪ ʱ o b ʱ u m i ।
চ ্ য া ন ে ল ে র,c ɛ n e l e ɾ
প ঞ ্ চ স ি ঁ ড় ি,p ɔ n c o ʃ i ̃ ɽ i
দ ো ষ ী,d ̪ o ʃ i
"ব া ই দ ু ,","b ɐ ͡ i ̯ d ̪ u ,"
শ ী র ্ ষ স ্ থ া ন,ʃ i ɾ ʃ o s t ̪ ʰ ɐ n
ই ন ্ দ ি র া ক ে,i n d ̪ i ɾ ɐ k e
জ া স ্ ট ি ন,ɟ ɐ s t i n
র া ম প ু র,ɾ ɐ m p u ɾ
প ্ র ক ৃ ত ি র,p ɾ o k ɾ i t ̪ i ɾ
প র ব ে ।,p o ɾ b e ।
ক া ন ে ক ট ি ভ ি ট ি ',k ɐ n e k t i b ʱ i t i '
ম ু ু খ,m u ͡ u ̯ k ʰ
হ ে ল ে,h e l e
থ ম স ন,t ̪ ʰ ɔ m ʃ o n
ধ ন ্ য ব া দ ।,d ̪ ʱ o n n o b ɐ d ̪ ।
জ া ন া ন ো র,ɟ ɐ n ɐ n o ɾ
আ ল ো ক স ্ ব ল ্ প ত া য়,ɐ l o k ʃ ʃ ɔ l p o t ̪ ɐ ʲ
প র র া ষ ্ ট ্ র ম ন ্ ত ্ র ী,p ɔ ɾ ɔ ɾ ɐ ʃ t ɾ o m ɔ n t ̪ ɾ i
ক ি,k i
প া শ ে ই ।,p ɐ ʃ e ͡ i ̯ ।
স া ঙ ্ গ া ক া র া ।,ʃ ɐ ŋ g ɐ k ɐ ɾ ɐ ।
গ া র ্ ড স ।,g ɐ ɾ d s ।
"শ ে খ ,","ʃ e k ʰ o ,"
শ ো - র ু ম,ʃ o - ɾ u m
ভ গ ্ ন ি প ত ি র,b ʱ ɔ g n i p o t ̪ i ɾ
র থ ী - ম হ া র থ ী দ ে র,ɾ o t ̪ ʰ i - m ɔ h ɐ ɾ t ̪ ʰ i d ̪ e ɾ
স া ব,s ɐ b
"ন ে ম ে ছ ি ,","n e m e c ʰ i ,"
ভ য় ে,b ʱ ɔ ʲ e
স া ফ ট া,ʃ ɐ p ʰ t ɐ
হ ে য়,h e ʲ
দ ে শ প ্ র ে ম ে,d ̪ e ʃ p ɾ e m e
আ প ন া দ ে র ই,ɐ p n ɐ d ̪ e ɾ i
ক া ই য় ু ম,k ɐ ͡ i ̯ ʲ u m
ল ু ট ত ে,l u t t ̪ e
ক ে ন ি য় া র,k e n i ʲ ɐ ɾ
হ া য় া ত,h ɐ ʲ ɐ t ̪
ত া ও,t ̪ ɐ ͡ o ̯
জ ড় ি ত দ ে র,ɟ o ɽ i t ̪ d ̪ e ɾ
"ফ ্ র া ই ,","p ʰ ɾ ɐ ͡ i ̯ ,"
ড গ,d ɔ g o
ফ ্ য া ব ্ র ি গ া স ে র,p ʰ ɛ b ɾ i g ɐ ʃ e ɾ
ম হ া খ া ল ী ত ে,m ɔ h ɐ k ʰ ɐ l i t ̪ e
উ ম ্ ম ত স হ,u m m ɔ t ̪ ɔ ʃ ɔ h o
আ গ া ত ে,ɐ g ɐ t ̪ e
প ্ র য ো জ ্ য,p ɾ o ɟ o ɟ ɟ o
"হ া ঁ ট ু ,","h ɐ ̃ t u ,"
ম া ল প ত ্ র,m ɐ l p o t ̪ ɾ o
দ ী প শ ি খ া,d ̪ i p ʃ i k ʰ ɐ
আ হ া ম র ি,ɐ h ɐ m ɾ i
"ন ি হ ত ,","n i h ɔ t ̪ o ,"
ব ে প া র ী প া ড় া র,b ɛ p ɐ ɾ i p ɐ ɽ ɐ ɾ
ক ো র প া ই,k o ɾ p ɐ ͡ i ̯
ব া ং ল া ব া জ া র,b ɐ ŋ l ɐ b ɐ ɟ ɐ ɾ
স ম র,ʃ ɔ m o ɾ
আ প ড ে ট,ɐ p d e t
শ ে খ া ত ে,ʃ e k ʰ ɐ t ̪ e
য া ত ্ র া ব া ড় ী র,ɟ ɐ t ̪ ɾ ɐ b ɐ ɽ i ɾ
হ ি ম শ ি ম,h i m ʃ i m
ন গ র ে র,n ɔ g o ɾ e ɾ
"ম য় ল া - আ ব র ্ জ ন া ,","m ɔ ʲ l ɐ - ɐ b ɔ ɾ ɟ o n ɐ ,"
ব ে স র ক া র ি,b e ʃ o ɾ k ɐ ɾ i
ল ু ট,l u t
হ া ল ে প ।,h ɐ l e p ।
ক ো ল ন,k o l o n
ধ র ্ ম চ া ক ী,d ̪ ʱ ɔ ɾ m o c ɐ k i
দ ে খ ে ছ ি ।,d ̪ e k ʰ e c ʰ i ।
ম স ল া য ো গ ে ।,m ɔ ʃ o l ɐ ɟ o g e ।
স ত র ্ ক ত া ম ূ ল ক,ʃ ɔ t ̪ ɔ ɾ k o t ̪ ɐ m u l o k
ক ি ষ া ন ে র,k i ʃ ɐ n e ɾ
ন া ম ি - দ া ম ি,n ɐ m i - d ̪ ɐ m i
স ে ব ন ে র,ʃ e ʃ o n e ɾ
চ ্ য া ল ে ন গ ু ল ো ত ে,c ɛ l e n g u l o t ̪ e
ব ি ম ু খ,b i m u k ʰ
প া শ ে,p ɐ ʃ e
চ ে ন ে,c e n e
খ া ই য় ে,k ʰ ɐ ͡ i ̯ ʲ e
শ া ব া ন া,ʃ ɐ b ɐ n ɐ
স ম া জ ক র ্ ম,ʃ ɔ m ɐ ɟ k ɔ ɾ m o
ভ ো ট া র দ ে র,b ʱ o t ɐ ɾ d ̪ e ɾ
ফ ি স ্ ট,p ʰ i s t
চ ে স ে র,c e ʃ e ɾ
খ ে ল ে ।,k ʰ e l e ।
ম শ া র,m ɔ ʃ ɐ ɾ
স া র ত ে,ʃ ɐ ɾ t ̪ e
স র ্ ব া ত ্ ম ক,ʃ ɔ ɾ b ɐ t ̪ t ̪ o k
এ ফ ি ড ে র,e p ʰ i d e ɾ
ত া র ি খ ।,t ̪ ɐ ɾ i k ʰ ।
দ ি ত ে,d ̪ i t ̪ e
স ম া দ ্ দ া র ে র,ʃ ɔ m ɐ d ̪ d ̪ ɐ ɾ e ɾ
দ ু র ্ গ ম ।,d ̪ u ɾ g ɔ m ।
স ু প া র প া ও য় া র,ʃ u p ɐ ɾ p ɐ ͡ o ̯ ʷ ɐ ɾ
আ ই স ি স ি,ɐ ͡ i ̯ ʃ i s i
র ো গ ক ে,ɾ o g k e
ব র ্ ন া ক ে,b ɔ ɾ n ɐ k e
ক ্ ল ি ন ি ক - হ া স প া ত া ল ে,k l i n i k - h ɐ ʃ p ɐ t ̪ ɐ l e
ও গ ব া র ্ ন ।,o g b ɐ ɾ n o ।
দ ল ম ত ে র,d ̪ ɔ l m ɔ t ̪ e ɾ
প র ি ত ্ র া ণ,p o ɾ i t ̪ ɾ ɐ n
"স ু ন ্ দ র ব ন ,","ʃ u n d ̪ o ɾ b o n ,"
দ ী ঘ ল ক া ন ্ দ ি,d ̪ i g ʱ ɔ l k ɐ n d ̪ i
ব ৈ ঠ ক ও,b o ͡ i ̯ t ʰ o k o
ব া ছ ি র ন ে র,b ɐ c ʰ i ɾ o n e ɾ
প ো ড় া দ হ,p o ɽ ɐ d ̪ h o
ব ি ক ্ র য় ে,b i k ɾ o ʲ e
প ড় া,p ɔ ɽ ɐ
ব ি ভ ো র,b i b ʱ o ɾ
আ ঙ ্ গ ি ক ে,ɐ ŋ g i k e
অ ব শ ্ য,ɔ b o ʃ ʃ o
হ ্ র দ ।,ɾ ɔ d ̪ ।
ক া জ ে ।,k ɐ ɟ e ।
আ য় ো জ ন ে ।,ɐ ʲ o ɟ o n e ।
ত ি থ ি র,t ̪ i t ̪ ʰ i ɾ
ক ল ে,k ɔ l e
"র া খ ল ে ন ,","ɾ ɐ k ʰ l e n ,"
প া ই র ে ট ে ড,p ɐ ͡ i ̯ ɾ e t e d
ক র ে স প ন ্ ড ে ন ্ ট স,k o ɾ e s p ɔ n d e n t ɔ ʃ
"শ র ি ফ া ,","ʃ o ɾ i p ʰ ɐ ,"
ব ল া র,b ɔ l ɐ ɾ
উ দ ্ দ ে শ ্ য ে র,u d ̪ d ̪ e ʃ ʃ e ɾ
আ দ র ে,ɐ d ̪ o ɾ e
প ে ৗ ঁ ছ া য় ।,p e ̃ c ʰ ɐ ʲ ।
প ্ র া ণ ভ য় ে,p ɾ ɐ n b ʱ ɔ ʲ e
ঘ া ট ট ি র,g ʱ ɐ t t i ɾ
ঝ ো র া ।,ɟ ʱ o ɾ ɐ ।
হ া স া ন ু ল,h ɐ s ɐ n u l
আ ছ ে ' ।,ɐ c ʰ e ' ।
র শ ি দ,ɾ ɔ ʃ i d ̪
স ে ন া ম ৈ ত ্ র ী,ʃ e n ɐ m o ͡ i ̯ t ̪ ɾ i
স ্ প ি ন া র,s p i n ɐ ɾ
"দ ি য় ে ছ ে ,","d ̪ i ʲ e c ʰ e ,"
ম য় ল া - আ ব র ্ জ ন া য়,m ɔ ʲ l ɐ - ɐ b ɔ ɾ ɟ o n ɐ ʲ
ম হ া ন গ র ী,m ɔ h ɐ n g o ɾ i
ঘ া ট ত ি র,g ʱ ɐ t t ̪ i ɾ
ম ো ন া ফ ে ক ে র,m o n ɐ p ʰ e k e ɾ
স ু ল ত া ন ।,s u l t ̪ ɐ n ।
ক া র ণ -,k ɐ ɾ o n -
ল জ ি স ্ ট ি ক স,l ɔ ɟ i s t i k s
প ড় – য় া,p ɔ ɽ – ʲ ɐ
আ র ে ফ ী ন,ɐ ɾ e p ʰ i n
চ া ল ।,c ɐ l ।
অ ন ু প ্ র ব ে শ ক া র ী,ɔ n u p ɾ o b e ʃ k ɐ ɾ i
ফ ু ঁ স ল ি য় ে,p ʰ u ̃ ʃ o l i ʲ e
ড ্ য া র ে ন,d ɛ ɾ e n
এ ম া ন ু য় ে ল ।,e m ɐ n u ʲ e l ।
শ ্ র ম ি ক র া স হ,s ɾ o m i k ɔ ɾ ɐ ʃ ɔ h o
ক ত জ ন,k ɔ t ̪ o ɟ ɔ n
র ূ প,ɾ u p
স ি ন া ল ো য় া র,ʃ i n ɐ l o ʷ ɐ ɾ
এ ক ্ স ক ে ভ ে ট র,e k s k e b ʱ e t ɔ ɾ
প ্ র দ র ্ শ ন ী র,p ɾ o d ̪ o ɾ ʃ o n i ɾ
খ া ড় ই ল,k ʰ ɐ ɽ i l o
ক া ল া ম,k ɐ l ɐ m
খ ে ল ে ন,k ʰ e l e n
আ ন ছ ে ।,ɐ n c ʰ e ।
ত প ন চ ন ্ দ ্ র,t ̪ ɔ p o n c ɔ n d ̪ ɾ o
‘ আ ত ্ ম ঘ া ত ী,‘ ɐ t ̪ t ̪ o g ʱ ɐ t ̪ i
"ম ি য় া ,","m i ʲ ɐ ,"
ব ি ম ল,b i m ɔ l
র ু স ্ ত ম,ɾ u s t ̪ ɔ m
ম ি ত ্ র শ ক ্ ত ি ।,m i t ̪ ɾ o ʃ ɔ k t ̪ i ।
অ ্ য া ক শ ন স,ɛ k ʃ o n ʃ
উ চ ্ চ ম া ত ্ র া য়,u c c o m ɐ t ̪ ɾ ɐ ʲ
দ ্ ব ন ্ দ ্ ব,d ̪ ɔ n d ̪ o
স ব া ই,ʃ ɔ b ɐ ͡ i ̯
অ প ্ র া স ঙ ্ গ ি ক,ɔ p ɾ ɐ ʃ o ŋ g i k
অ স া ম ঞ ্ জ স ্ য,ɔ ʃ ɐ m o n ɟ o ʃ ʃ o
দ ে খ ছ ে ন,d ̪ e k ʰ c ʰ e n
উ ন ্ ন ত শ ি র ।,u n n o t ̪ o ʃ i ɾ ।
অ ধ ি ব া স ী র া,o d ̪ ʱ i b ɐ ʃ i ɾ ɐ
প ্ র ব ৃ দ ্ ধ ি র,p ɾ o b ɾ i d ̪ d ̪ ʱ i ɾ
ব ু শ া র ্ ড,b u ʃ ɐ ɾ d
ত খ ন ।,t ̪ ɔ k ʰ o n ।
দ ে খ ে ও,d ̪ e k ʰ e ͡ o ̯
ব া দ ্ য ব া জ ন া,b ɐ d ̪ d ̪ o b ɐ ɟ n ɐ
র হ স ্ য জ ক,ɾ ɔ h o ʃ ʃ o ɟ ɔ k
স া য় র া,ʃ ɐ ʲ ɾ ɐ
প ্ র ি ও র ি,p ɾ i ͡ o ̯ ɾ i
ব ে শ ি ।,b e ʃ i ।
স হ ক র ্ ম ী দ ে র,ʃ ɔ h o k ɔ ɾ m i d ̪ e ɾ
ক ্ য া ট,k ɛ t
ব ্ য া প া র ী,b ɛ p ɐ ɾ i
ঝ ু ল ি ই,ɟ ʱ u l i ͡ i ̯
ল ব ী র,l o b i ɾ
ব ি শ ্ ব ব ি দ ‌ ্ য া ল য় ে,b i ʃ ʃ o b i d ̪ d ̪ ɐ l ɔ ʲ e
ও ল ি ।,o l i ।
ক ্ য হ ্ ল া চ ি ং,k ɛ h l ɐ c i ŋ
স া র ক া র খ া ন া,s ɐ ɾ k ɐ ɾ k ʰ ɐ n ɐ
প ্ র ত ্ য ে ক ট া,p ɾ o t ̪ t ̪ e k t ɐ
র া ম ু,ɾ ɐ m u
ম ে য় ে র া ও,m e ʲ e ɾ ɐ ͡ o ̯
র া জ ্ য ে,ɾ ɐ ɟ ɟ e
ধ া ও য় া,d ̪ ʱ ɐ ͡ o ̯ ʷ ɐ
ব া স ভ ব ন ে র,b ɐ ʃ b ʱ b ɔ n e ɾ
ম ু ন স ু র ু ল,m u n o ʃ u ɾ u l
ছ ু ঁ ড় ে ।,c ʰ u ̃ ɽ e ।
স ম ু দ ্ র ে র,ʃ o m u d ̪ ɾ e ɾ
গ ্ র া হ ক দ ে র,g ɾ ɐ h o k d ̪ e ɾ
ব ি ক ্ ষ ো ভ,b i k k ʰ o b ʱ
ব া ব া ।,b ɐ b ɐ ।
অ প ্ র ত ি দ ্ ব ন ্ দ ্ ব ী ।,ɔ p ɾ o t ̪ i d ̪ d ̪ ɔ n d ̪ o ͡ i ̯ ।
ক ু দ ্ দ ু স ক ে,k u d ̪ d ̪ u ʃ k e
আ ই ল ্ য া ন ্ ড,ɐ ͡ i ̯ l ɛ n d
ল ব ণ ে র,l ɔ b o n e ɾ
গ ি র ্ জ া র,g i ɾ ɟ ɐ ɾ
শ ে ম !,ʃ e m !
য ু ক ্ ত ি ত র ্ ক,ɟ u k t ̪ i t ̪ ɔ ɾ k o
গ া ব ত ল ী র,g ɐ b o t ̪ o l i ɾ
ম ি য় া ক ু ণ ্ ড ু,m i ʲ ɐ k u n d u
ব ্ য ব ধ া ন,b ɛ b o d ̪ ʱ ɐ n
ক ু ল খ া ন ি,k u l k ʰ ɐ n i
ব ্ য া প ক ভ া ব ে,b ɛ p ɔ k b ʱ ɐ b e
ক প া ল ে ।,k ɔ p ɐ l e ।
গ ্ র ে প ্ ত া র,g ɾ e p t ̪ ɐ ɾ
ফ য় জ ু ল,p ʰ ɔ ʲ ɟ u l
"থ া ক ে ন ন ি ,","t ̪ ʰ ɐ k e n n i ,"
শ ি ক ্ ষ া ব ্ য ব স ্ থ া ক ে,ʃ i k k ʰ ɐ b ɛ b o s t ̪ ʰ ɐ k e
"ব া হ ি ন ী ক ে ,","b ɐ h i n i k e ,"
অ শ ো ক,ɔ ʃ o k
ব ্ য র ্ থ ত া য়,b ɛ ɾ t ̪ ʰ o t ̪ ɐ ʲ o
ন ে হ া ।,n e h ɐ ।
"ধ ্ য া ন ,","d ̪ ʱ ɛ n ,"
গ ৃ হ প র ি চ া র ি ক া,g ɾ i h o p o ɾ i c ɐ ɾ i k ɐ
ক া র ে ন ্ ট,k ɐ ɾ e n t
ই ম া ম ত ি ও,i m ɐ m o t ̪ i ͡ o ̯
ই ড ি এ ফ,i d i ͡ e ̯ p ʰ
ম ে ল ত ে,m e l t ̪ e
ক ে উ ন ি য় ম - ক া ন ু ন,k e ͡ u ̯ n i ʲ o m - k ɐ n u n
শ ্ র ী ম ৎ,s ɾ i m ɔ t ̪
অ প র ে র,ɔ p o ɾ e ɾ
ত া র ি ক উ জ ্ জ া ম া ন,t ̪ ɐ ɾ i k u ɟ ɟ ɐ m ɐ n
স া দ া র ল ্ য া ন ্ ড,ʃ ɐ d ̪ ɐ ɾ l ɛ n d
র ো ম,ɾ o m
এ ত ে ও,e t ̪ e ͡ o ̯
ক ্ ষ ু দ ে,k ʰ u d ̪ e
অ ভ য় া র ণ ্ য,ɔ b ʱ ɔ ʲ ɐ ɾ o n n o
ব া ত ি,b ɐ t ̪ i
ধ ৃ ত,d ̪ ʱ ɾ i t ̪ o
প ্ র ত ি ন ি ধ ি স ্ ক ু ল,p ɾ o t ̪ i n i d ̪ ʱ i s k u l
ন ট স ে ন ্ ট া প,n ɔ t s e n t ɐ p
ধ র ি ত ্ র ী,d ̪ ʱ o ɾ i t ̪ ɾ i
ন ্ য া ত া র া,n ɛ t ̪ ɐ ɾ ɐ
ধ র ্ ষ ণ ে র,d ̪ ʱ ɔ ɾ ʃ o n e ɾ
উ প ক ্ র ম,u p o k ɾ o m
ম ন ো জ গ ত ে,m o n o ɟ g ɔ t ̪ e
অ প র া ধ স হ,ɔ p o ɾ ɐ d ̪ ʱ ʃ ɔ h o
প ো ল ্ য া ন ্ ড ে র,p o l ɛ n d e ɾ
জ ্ ঞ া ন - ব ি জ ্ ঞ া ন,g ɛ n b i - g g ɐ n
শ া প ে ক ো হ ে ন ্ স,ʃ ɐ p e k o h e n s
প দ ত ্ য া গ ী র া,p ɔ d ̪ o t ̪ t ̪ ɐ g i ɾ ɐ
গ ু জ র া থ ি ।,g u ɟ ɾ ɐ t ̪ ʰ i ।
ন ব ী,n o b i
ম া গ ফ ু র ু ল,m ɐ g p ʰ u ɾ u l
স ং স ্ থ া ট ি র,ʃ ɔ ŋ ɔ s t ̪ ʰ ɐ t i ɾ
ফ ি - ব ছ র ে ই,p ʰ i - b c ʰ o ɾ e ͡ i ̯
চ া চ ্ ছ ি ল ে ন,c ɐ c c ʰ i l e n
ম া ত ৃ গ র ্ ভ ে,m ɐ t ̪ ɾ i g ɔ ɾ b ʱ e
স া ং স দ,ʃ ɐ ŋ ʃ ɔ d ̪
ক া প ।,k ɐ p ।
গ ো ল ক ট ি,g o l o k t i
ই স ল া ম ি ক,i s l ɐ m i k
র া জ ন ী ত ি ব ি দ স হ,ɾ ɐ ɟ n i t ̪ i b i d ̪ ɔ ʃ ɔ h o
ন ে য় া র ও,n e ʲ ɐ ɾ o
স া ন ড ে ।,ʃ ɐ n d e ।
প ্ র ে ম চ া ঁ দ ে র,p ɾ e m c ɐ ̃ d ̪ e ɾ
ঝ ু ল ে,ɟ ʱ u l e
ম া ন ু ষ জ ন ।,m ɐ n u ʃ ɟ ɔ n ।
র ি ল ি ফ,ɾ i l i p ʰ
ন ো শ ি ন,n o ʃ i n
